_id,city,lat,lng,country,iso2,admin,capital,population,population_proper
ObjectId("5e4d6134af7600474e6bb1f5"),Kruševac,43.58105,21.335174,Serbia,RS,Kruševac,admin,,
ObjectId("5e4d6134af7600474e6bb1f6"),Bosilegrad,42.500482,22.472784,Serbia,RS,Bosilegrad,admin,,
ObjectId("5e4d6134af7600474e6bb1f7"),Mali Iđoš,45.709191,19.666261,Serbia,RS,Mali Iđoš,admin,,
ObjectId("5e4d6134af7600474e6bb1f8"),Petrovaradin,45.245449,19.879344,Serbia,RS,Novi Sad,minor,,
ObjectId("5e4d6134af7600474e6bb1f9"),Vlasotince,42.965907,22.127178,Serbia,RS,Vlasotince,admin,,
ObjectId("5e4d6134af7600474e6bb1fa"),Grocka,44.67204,20.715286,Serbia,RS,Beograd,minor,,
ObjectId("5e4d6134af7600474e6bb1fb"),Mali Zvornik,44.399176,19.121431,Serbia,RS,Mali Zvornik,admin,,
ObjectId("5e4d6134af7600474e6bb1fc"),Majdanpek,44.422847,21.935837,Serbia,RS,Majdanpek,admin,,
ObjectId("5e4d6134af7600474e6bb1fd"),Paraćin,43.859155,21.41191,Serbia,RS,Paraćin,admin,,
ObjectId("5e4d6134af7600474e6bb1fe"),Bela Palanka,43.219622,22.314048,Serbia,RS,Bela Palanka,admin,,
ObjectId("5e4d6134af7600474e6bb1ff"),Kikinda,45.832292,20.468191,Serbia,RS,Kikinda,admin,,
ObjectId("5e4d6134af7600474e6bb200"),Pećinci,44.908889,19.966389,Serbia,RS,Pećinci,admin,,
ObjectId("5e4d6134af7600474e6bb201"),Surdulica,42.690358,22.170416,Serbia,RS,Surdulica,admin,,
ObjectId("5e4d6134af7600474e6bb202"),Opovo,45.052172,20.431343,Serbia,RS,Opovo,admin,,
ObjectId("5e4d6134af7600474e6bb203"),Knjaževac,43.566696,22.25393,Serbia,RS,Knjaževac,admin,,
ObjectId("5e4d6134af7600474e6bb204"),Niška Banja,43.294312,22.009906,Serbia,RS,Niš,minor,,
ObjectId("5e4d6134af7600474e6bb205"),Lajkovac,44.370041,20.164425,Serbia,RS,Lajkovac,admin,,
ObjectId("5e4d6134af7600474e6bb206"),Žitište,45.485384,20.550725,Serbia,RS,Žitište,admin,,
ObjectId("5e4d6134af7600474e6bb207"),Merošina,43.281278,21.721834,Serbia,RS,Merošina,admin,,
ObjectId("5e4d6134af7600474e6bb208"),Svrljig,43.412867,22.125209,Serbia,RS,Svrljig,admin,,
